Province	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
Bulawayo	1926	31773	159	9356	89207	1277	4	133698	132421
Harare	843	172163	361	7846	261925	6167	19	449305	443138
Manicaland	3374	258026	1514	13433	180552	11033	2	467932	456899
Mashonaland Central	2182	327455	615	3525	46533	6678	12	386988	380310
Mashonaland East	2212	320719	795	6231	90165	6731	431	426853	420122
Mashonaland West	2077	278059	895	5667	101554	7751	18	396003	388252
Masvingo	3855	285806	1515	9878	104912	9804	6	415770	405966
Matabeleland North	3034	81207	1352	13003	98596	6490	13	203682	197192
Matabeleland South	2776	81180	1166	12726	58633	3592	7	160073	156481
Midlands	3148	274793	1571	11036	141210	9825	16	441583	431755
